,Pseudo Code,Java,Python
0,Maximum Prefix Sum possible by merging two given arrays | Java Program to implement the above approach ; Stores the maximum prefix sum of the array A [ ] ; Traverse the array A [ ] ; Stores the maximum prefix sum of the array B [ ] ; Traverse the array B [ ] ; Driver code,"```java
public static int maxPrefixSum(int[] A, int[] B) {
    int maxPrefixSumA = 0, maxPrefixSumB = 0;
    for (int i = 0; i < A.length; i++) {
      maxPrefixSumA = Math.max(maxPrefixSumA, maxPrefixSumA + A[i]);
    }
    for (int i = 0; i < B.length; i++) {
      maxPrefixSumB = Math.max(maxPrefixSumB, maxPrefixSumB + B[i]);
    }
    return Math.max(maxPrefixSumA, maxPrefixSumB);
  }
```","```python
def max_prefix_sum(A, B):
  max_prefix_sum_A = 0
  for i in range(len(A)):
    max_prefix_sum_A = max(max_prefix_sum_A, max_prefix_sum_A + A[i])
  max_prefix_sum_B = 0
  for i in range(len(B)):
    max_prefix_sum_B = max(max_prefix_sum_B, max_prefix_sum_B + B[i])
  return max(max_prefix_sum_A, max_prefix_sum_B)
```"
1,Check if a number can be represented as sum of two positive perfect cubes | Java program for the above approach ; Function to check if N can be represented as sum of two perfect cubes or not ; if it is same return true ; ; if the curr smaller than n increment the lo ; if the curr is greater than curr decrement the hi ; Driver Code ; Function call to check if N can be represented as sum of two perfect cubes or not,"```java
public static boolean checkSumOfCubes(int n) {
    int lo = 1;
    int hi = (int) Math.cbrt(n);
    while (lo <= hi) {
        int curr = (int) Math.pow(lo, 3) + (int) Math.pow(hi, 3);
        if (curr == n) {
            return true;
        } else if (curr < n) {
            lo++;
        } else {
            hi--;
        }
    }
    return false;
}
```","```python
def isSumOfCubes(n):
  lo = 1
  hi = int(n ** (1/3)) + 1
  while lo <= hi:
    curr = lo ** 3 + hi ** 3
    if curr == n:
      return True
    elif curr < n:
      lo += 1
    else:
      hi -= 1
  return False
```"
2,"Generate an N | Java program for the above approach ; Function to generate all prime numbers upto 10 ^ 6 ; Initialize sieve [ ] as 1 ; Iterate over the range [ 2 , N ] ; If current element is non - prime ; Make all multiples of i as 0 ; Function to construct an array A [ ] satisfying the given conditions ; Stores the resultant array ; Stores all prime numbers ; Sieve of Erastosthenes ; Append the integer i if it is a prime ; Indicates current position in list of prime numbers ; Traverse the array arr [ ] ; If already filled with another prime number ; If A [ i ] is not filled but A [ ind ] is filled ; Store A [ i ] = A [ ind ] ; If none of them were filled ; To make sure A [ i ] does not affect other values , store next prime number ; Print the resultant array ; Driver Code ; Function Call","```java
public static void generatePrimeNumbers(int N, int[] sieve) {
    for (int i = 2; i <= N; i++) {
      if (sieve[i] != 0) {
        for (int j = i * i; j <= N; j += i) {
          sieve[j] = 0;
        }
      }
    }
  }

  public static int[] constructArray(int N, int[] sieve) {
    int[] A = new int[N];
    int ind = 0;
    for (int i = 0; i < N; i++) {
      if (A[i] == 0) {
        if (sieve[i + 1] != 0) {
          A[i] = i + 1;
          ind++;
        } else if (A[ind] != 0) {
          A[i] = A[ind];
        } else {
          A[i] = ind + 1;
        }
      }
    }
    return A;
  }

  public static void main(String[] args) {
    int N = 1000000;
    int[] sieve = new int[N + 1];
    for (int i = 0; i <= N; i++) {
      sieve[i] = 1;
    }
    generatePrimeNumbers(N, sieve);
    int[] A = constructArray(N, sieve);
    for (int i = 0; i < N; i++) {
      System.out.print(A[i] + "" "");
    }
  }
```","```python
def generate_primes(N):
  sieve = [1] * (N + 1)
  for i in range(2, int(N**0.5) + 1):
    if sieve[i]:
      for j in range(i * i, N + 1, i):
        sieve[j] = 0
  primes = []
  for i in range(2, N + 1):
    if sieve[i]:
      primes.append(i)
  return primes

def construct_array(arr, primes):
  ind = 0
  for i in range(len(arr)):
    if arr[i] != -1:
      continue
    if primes[ind] <= i:
      arr[i] = primes[ind]
      ind += 1
    else:
      if ind < len(primes):
        arr[i] = primes[ind]
  return arr

def main():
  N = 10**6
  primes = generate_primes(N)
  arr = [-1] * N
  arr = construct_array(arr, primes)
  print(arr)

if __name__ == ""__main__"":
  main()
```"
3,Nth natural number after removing all numbers consisting of the digit 9 | Java program for the above approach ; Function to find Nth number in base 9 ; Stores the Nth number ; Iterate while N is greater than 0 ; Update result ; Divide N by 9 ; Multiply p by 10 ; Return result ; Driver Code,"```java
public static int findNthNumberInBase9(int n) {
    int result = 0;
    int p = 1;
    while (n > 0) {
        result += (n % 9) * p;
        n /= 9;
        p *= 10;
    }
    return result;
}
```","```python
def findNthNumber(N):
  result = 0
  p = 1
  while N > 0:
    result += (N % 9) * p
    N //= 9
    p *= 10
  return result
```"
4,Check if an integer is rotation of another given integer | Java implementation of the approach ; Function to check if the integer A is a rotation of the integer B ; Stores the count of digits in A ; Stores the count of digits in B ; If dig1 not equal to dig2 ; Stores position of first digit ; Stores the first digit ; Rotate the digits of the integer ; If A is equal to B ; If A is equal to the initial value of integer A ; Driver Code,"```java
public static boolean isRotation(int A, int B) {
    int dig1 = Integer.toString(A).length();
    int dig2 = Integer.toString(B).length();
    if (dig1 != dig2) {
      return false;
    }
    int pos = 0;
    int firstDigit = A % 10;
    while (A != 0) {
      A /= 10;
      pos++;
    }
    int temp = firstDigit;
    while (pos > 0) {
      temp = temp * 10 + (B % 10);
      B /= 10;
      pos--;
    }
    if (A == B && temp == firstDigit) {
      return true;
    }
    return false;
  }
```","```python
def isRotation(A, B):
  dig1 = len(str(A))
  dig2 = len(str(B))
  if dig1 != dig2:
    return False
  pos = 0
  first = int(str(A)[0])
  while int(str(A)[pos]) != first:
    pos += 1
  A = int(str(A)[pos:] + str(A)[:pos])
  if A == B:
    if A == int(str(A)[pos:] + str(A)[:pos]):
      return True
  return False 
```"
5,"Count of quadruples with product of a pair equal to the product of the remaining pair | Java program for the above approach ; Function to count the number of unique quadruples from an array that satisfies the given condition ; Hashmap to store the product of pairs ; Store the count of required quadruples ; Traverse the array arr [ ] and generate all possible pairs ; Store their product ; Pair ( a , b ) can be used to generate 8 unique permutations with another pair ( c , d ) ; Increment um [ prod ] by 1 ; Print the result ; Driver Code","```java
public static int countQuadruples(int[] arr) {
    HashMap<Integer, Integer> um = new HashMap<>();
    int count = 0;
    for (int i = 0; i < arr.length; i++) {
        for (int j = i + 1; j < arr.length; j++) {
            int prod = arr[i] * arr[j];
            if (um.containsKey(prod)) {
                count += um.get(prod);
            }
            um.put(prod, um.getOrDefault(prod, 0) + 1);
        }
    }
    return count;
}
```","```python
def countQuadruples(arr):
  um = {}
  count = 0
  for i in range(len(arr)):
    for j in range(i + 1, len(arr)):
      prod = arr[i] * arr[j]
      if prod in um:
        um[prod] += 1
      else:
        um[prod] = 1
  for prod in um:
    count += um[prod] * (um[prod] - 1) // 2
  return count
```"
6,"Count ways to place M objects in distinct partitions of N boxes | Java implementation of the above Approach ; Iterative Function to calculate ( x ^ y ) % p in O ( log y ) ; Initialize Result ; Update x if x >= MOD to avoid multiplication overflow ; If y is odd , multiply x with result ; y = y \/ 2 ; Change x to x ^ 2 ; Utility function to find the Total Number of Ways ; Number of Even Indexed Boxes ; Number of partitions of Even Indexed Boxes ; Number of ways to distribute objects ; Driver Code ; N = number of boxes M = number of distinct objects ; Function call to get Total Number of Ways","```java
public static long countWays(int N, int M) {
    long evenBoxes = N / 2;
    long partitions = (long) Math.pow(2, evenBoxes);
    return power(2, M) % MOD * partitions % MOD;
}

public static long power(long x, long y) {
    long res = 1;
    x %= MOD;
    while (y > 0) {
      if ((y & 1) != 0) {
        res = (res * x) % MOD;
      }
      y >>= 1;
      x = (x * x) % MOD;
    }
    return res;
  }
  
  public static final long MOD = 1000000007;
  public static void main(String[] args) {
    int N = 4;
    int M = 3;
    System.out.println(countWays(N, M));
  }
```","```python
def count_ways(N, M):
  even_boxes = N // 2
  partitions_even = 1 << even_boxes
  ways = 0
  for i in range(partitions_even):
    partitions_odd = 1 << (N - even_boxes)
    for j in range(partitions_odd):
      count = 0
      for k in range(N):
        if (k % 2 == 0 and (i >> (k // 2)) & 1) or (k % 2 == 1 and (j >> (k // 2)) & 1):
          count += 1
      if count == M:
        ways += 1
  return ways
```"
7,Check if a graph constructed from an array based on given conditions consists of a cycle or not | Java program for the above approach ; Function to check if the graph constructed from given array contains a cycle or not ; Traverse the array ; If arr [ i ] is less than arr [ i - 1 ] and arr [ i ] ; Driver Code ; Given array ; Size of the array,"```java
public boolean hasCycle(int[] arr) {
    if (arr.length < 3) {
      return false;
    }
    for (int i = 2; i < arr.length; i++) {
      if (arr[i] < arr[i - 1] && arr[i] < arr[i - 2]) {
        return true;
      }
    }
    return false;
  }
```","```python
def check_cycle(arr):
  n = len(arr)
  for i in range(1, n):
    if arr[i] < arr[i - 1] and arr[i] < arr[(i + 1) % n]:
      return True
  return False
```"
8,"Maximize first array element by performing given operations at most K times | Java program for the above approach ; Function to maximize the first array element ; Traverse the array ; Initialize cur_val to a [ i ] ; If all operations are not over yet ; If current value is greater than zero ; Incrementing first element of array by 1 ; Decrementing current value of array by 1 ; Decrementing number of operations by i ; If current value is zero , then break ; Print first array element ; Driver Code ; Given array ; Size of the array ; Given K ; Prints the maximum possible value of the first array element","```java
public static int maximizeFirstElement(int[] a, int k) {
    for (int i = 0; i < a.length; i++) {
      int cur_val = a[i];
      if (k > 0) {
        while (cur_val > 0 && k > 0) {
          a[0]++;
          cur_val--;
          k--;
        }
        if (cur_val == 0) {
          break;
        }
      }
    }
    return a[0];
  }
```","```python
def maximize_first_element(a, n, k):
  for i in range(n):
    cur_val = a[i]
    if k > 0:
      while cur_val > 0:
        a[0] += 1
        cur_val -= 1
        k -= 1
        if cur_val == 0:
          break
  return a[0]
```"
9,"Count Non | Java program of the above approach ; Function to find the gcd of the two numbers ; Function to find distinct elements in the array by repeatidely inserting the absolute difference of all possible pairs ; Stores largest element of the array ; Traverse the array , arr [ ] ; Update max_value ; Stores GCD of array ; Traverse the array , arr [ ] ; Update GCDArr ; Stores distinct elements in the array by repeatidely inserting absolute difference of all possible pairs ; Driver code ; Given array arr [ ]","```java
public static int countNon(int[] arr) {
    int max_value = arr[0];
    for (int i = 0; i < arr.length; i++) {
      if (arr[i] > max_value) {
        max_value = arr[i];
      }
    }
    int GCDArr = arr[0];
    for (int i = 1; i < arr.length; i++) {
      GCDArr = gcd(GCDArr, arr[i]);
    }
    int[] distinct = new int[max_value + 1];
    for (int i = 0; i < arr.length; i++) {
      for (int j = i + 1; j < arr.length; j++) {
        distinct[Math.abs(arr[i] - arr[j])] = 1;
      }
    }
    int count = 0;
    for (int i = 0; i < distinct.length; i++) {
      if (distinct[i] == 1) {
        count++;
      }
    }
    return count;
  }
  
  public static int gcd(int a, int b) {
    if (b == 0) {
      return a;
    }
    return gcd(b, a % b);
  }
```","```python
def countNon(arr):
  def gcd(a, b):
    while b:
      a, b = b, a % b
    return a
  
  max_value = max(arr)
  GCDArr = gcd(arr[0], arr[1])
  for i in range(2, len(arr)):
    GCDArr = gcd(GCDArr, arr[i])
  
  distinct = set()
  for i in range(len(arr)):
    for j in range(i + 1, len(arr)):
      distinct.add(abs(arr[i] - arr[j]))
  
  return len(distinct) - max_value + GCDArr 
```"
